Comment,Emotion,Comment Length,Word Count,Processed Comment
i seriously hate one subject to death but now i feel reluctant to drop it,fear,73,15,seriously hate one subject death reluctant drop
im so full of life i feel appalled,anger,34,8,full life appalled
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear,131,29,sit write start dig feeling think afraid accept possibility might
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy,89,19,angry r idiot trusting first place
i feel suspicious if there is no one outside like the rapture has happened or something,fear,87,16,suspicious one outside rapture happened something
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger,105,20,jealous becasue wanted kind love true connection two soul wanted
when a friend of mine keeps telling me morbid things that happened to his dog,anger,77,15,friend mine keep telling morbid thing happened dog
i finally fell asleep feeling angry useless and still full of anxiety,anger,69,12,finally fell asleep angry useless still full anxiety
i feel a bit annoyed and antsy in a good way,anger,44,11,bit annoyed antsy good way
i feel like i ve regained another vital part of my life which is living,joy,71,15,regained another vital part life living
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy,110,22,bit franz liebkind producer many fuhrer terrific dancer
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy,165,33,start didnt move much glad experience glimpse sort vibrant energy gain year
i was bitten by a dog,fear,21,6,bitten dog
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy,191,40,always find thankful year gathered trick allow grateful face moment last say thanks
i just try not to talk to anyone when i feel irritable like that,anger,64,14,try talk anyone irritable
i feel like they hated me since then,anger,36,8,hated since
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger,207,41,dont wrote following note today u r offended following posting obviously lived long enough compromised act believe
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger,141,30,offended choose tell guy treated guy friend would put stop nonsense
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy,104,22,remember belong smart enough cool enough even young enough
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear,110,23,redeem even though think realized distraught ok
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear,149,29,hope next quote able let special someone know insecure understand matter much trust
