Comment,Emotion,Comment Length,Word Count
i seriously hate one subject to death but now i feel reluctant to drop it,fear,73,15
im so full of life i feel appalled,anger,34,8
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear,131,29
ive been really angry with r and i feel like an idiot for trusting him in the first place,joy,89,19
i feel suspicious if there is no one outside like the rapture has happened or something,fear,87,16
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger,105,20
when a friend of mine keeps telling me morbid things that happened to his dog,anger,77,15
i finally fell asleep feeling angry useless and still full of anxiety,anger,69,12
i feel a bit annoyed and antsy in a good way,anger,44,11
i feel like i ve regained another vital part of my life which is living,joy,71,15
i feel a bit like franz liebkind in the producers not many people know it but the fuhrer was a terrific dancer,joy,110,22
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy,165,33
i was bitten by a dog,fear,21,6
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy,191,40
i just try not to talk to anyone when i feel irritable like that,anger,64,14
i feel like they hated me since then,anger,36,8
i dont know who wrote the following little note but this is how i feel today if u r offended by the following posting then you obviously have not lived long enough to be compromised on how you act or believe,anger,207,41
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger,141,30
i remember feeling as if i didn t belong and that i wasn t smart enough cool enough or even young enough,joy,104,22
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,fear,110,23
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear,149,29
i feel much better and without the help of ice,joy,46,10
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,anger,128,19
i still feel its a little shaky at times and can move into the slightly odd jades hair in particular seems prone to this but generally it works well with spencers writing,fear,170,32
i stropped about for a bit feeling grumpy because i was missing out,anger,67,13
i have a feeling i shall go mad,anger,31,8
i am happpy when i get good results in the field of academics or athletics,joy,74,15
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy,187,28
im feeling deeply overwhelmed by these ordinary tasks,fear,53,8
i feel so grouchy and irritable when im sick,anger,44,9
i feel my heart shaky all the time now,fear,38,9
i expect and i feel content with that,joy,37,8
i feel amused at the absurdity of it all,joy,40,9
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger,229,44
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger,80,15
i go back to my point about what an easy sell getting folk to feel really virtuous for not doing what they dont want to do anyway,joy,129,27
im feeling a bit more sociable now although i dont think ill be able to express everything i want to say,joy,104,21
i would feel joyful,joy,19,4
at a certain situation i felt myself neglected and undeservedly harmed,anger,70,11
i felt good and feel fine today too,joy,35,8
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger,200,39
im feeling slightly optimistic,joy,30,4
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger,77,17
im still feeling indecisive im polling yall p,fear,45,8
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger,163,31
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger,139,26
i just feel so fucked up these days,anger,35,8
i confess that i was feeling nervous as i made my way to the event venue,fear,72,16
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear,157,28
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy,134,28
i feel like i have been a bit obnoxious in my picture posting,anger,61,13
i feel morally outraged and furious more often than i d like,anger,60,12
i feel pissed my friend didnt offer me a soda,anger,45,10
i feel our hearts are treading dangerous territory,anger,50,8
i feel frightened by it all,fear,27,6
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger,121,27
i feel shafted or greedy,anger,24,5
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear,109,24
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger,132,25
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear,105,20
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear,91,18
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy,220,47
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy,143,27
i feel a bit pissed off because we went first,anger,45,10
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy,76,16
i really like how the special edition really does feel special with songs on it,joy,79,15
i would accept your gift without feeling mad,anger,44,8
i feel hesitant to do it since i don t have any experience with programming and all,fear,83,17
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger,98,16
i do feel confused,fear,18,4
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger,203,39
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger,97,20
i feel so tortured,anger,18,4
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy,140,28
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy,106,23
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear,90,18
i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,fear,123,25
i feel so comfortable around him,joy,32,6
i feel completely unsure of any boundaries or normalcy,fear,54,9
i think of or feel gratitude i think of my kind and gracious heavenly father,joy,76,15
im feeling really really left out and somewhat dissatisfied with everything,anger,75,11
i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear,97,21
i am feeling weird and feel wanna know,fear,38,8
i had an incredible feeling of frantic despair,fear,46,8
i feel reluctant to sell but hey,fear,32,7
i take a long sip and feel the cold sensation of the iced capp,anger,62,14
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear,97,20
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger,146,31
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear,152,29
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear,124,27
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger,183,32
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger,117,23
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy,163,39
the possibility of having failed the examination,fear,48,7
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy,147,32
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger,86,16
